 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 1.05 	 W: 0.34 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.05 	 W: 0.68 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.05 	 W: 0.68 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.05 	 W: 0.68 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.05 	 W: 0.68 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.33 	 V: 1.05 	 W: 0.34 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.05 	 W: 0.68 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.05 	 W: 0.68 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.02 	 W: 0.67 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.02 	 W: 0.67 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 1.02 	 W: 0.33 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.02 	 W: 0.67 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.02 	 W: 0.67 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.02 	 W: 0.67 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.02 	 W: 0.67 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.02 	 W: 0.67 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.02 	 W: 0.67 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.00 	 W: 0.65 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.00 	 W: 0.65 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.00 	 W: 0.65 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.00 	 W: 0.65 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.00 	 W: 0.65 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 1.00 	 W: 0.32 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.00 	 W: 0.65 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 1.00 	 W: 0.65 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.97 	 W: 0.63 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.97 	 W: 0.63 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 0.97 	 W: 0.32 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.97 	 W: 0.63 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.97 	 W: 0.63 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.97 	 W: 0.63 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.97 	 W: 0.63 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.33 	 V: 0.97 	 W: 0.32 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.97 	 W: 0.63 	 Thr: 0 	 Hz: 85
T: 0.01 	 C: 0.65 	 V: 0.94 	 W: 0.61 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.94 	 W: 0.61 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.94 	 W: 0.61 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.94 	 W: 0.61 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.94 	 W: 0.61 	 Thr: 0 	 Hz: 84
T: 0.01 	 C: 0.65 	 V: 0.94 	 W: 0.61 	 Thr: 0 	 Hz: 84
